stem,pos,description
parraknusxa,NOUN,Noun {Ot}
parranda,NOUN,Noun {Ot}
parranda-marranda,NOUN,Noun {Ot}
parrandaboqar,NOUN,Noun {Ot}
parrandaboqarlik,NOUN,Noun {Ot}
parrandaboz,NOUN,Noun {Ot}
parrandachi,NOUN,Noun {Ot}
parrandachilik,ADJ,Adjective {Sifat}
parrandachilik,NOUN,Noun {Ot}
parrandaparvar,NOUN,Noun {Ot}
parrandashunos,NOUN,Noun {Ot}
parrandashunoslik,NOUN,Noun {Ot}
parrandaxona,ADV,Adverb {Ravish}
parrandaxona,NOUN,Noun {Ot}
parron,NOUN,Noun {Ot}
parron,PRN,Pronoun {Olmosh}
parrosh,NOUN,Noun {Ot}
parroshlik,NOUN,Noun {Ot}
pars-pars,NOUN,Noun {Ot}
parsek,NOUN,Noun {Ot}
part,NOUN,Noun {Ot}
part-part,NOUN,Noun {Ot}
part-partlamoq,NOUN,Noun {Ot}
part-purt,NOUN,Noun {Ot}
parta,NOUN,Noun {Ot}
partadosh,NOUN,Noun {Ot}
partak,ADJ,Adjective {Sifat}
partak,NOUN,Noun {Ot}
partaktiv,NOUN,Noun {Ot}
partav,NOUN,Noun {Ot}
partbilet,NOUN,Noun {Ot}
partbyuro,NOUN,Noun {Ot}
partdrujina,NOUN,Noun {Ot}
parte,NOUN,Noun {Ot}
partenogenetik,NOUN,Noun {Ot}
partenogenez,NOUN,Noun {Ot}
partenogenezis,NOUN,Noun {Ot}
partenokarpiya,NOUN,Noun {Ot}
parter,NOUN,Noun {Ot}
partgruppa,NOUN,Noun {Ot}
partilla,VERB,Verb {Fe'l}
partillat,VERB,Verb {Fe'l}
partillov,NOUN,Noun {Ot}
partishlik,NOUN,Noun {Ot}
partitura,NOUN,Noun {Ot}
partiya,NOUN,Noun {Ot}
partiyadosh,NOUN,Noun {Ot}
partiyalararo,NOUN,Noun {Ot}
partiyali,ADJ,Adjective {Sifat}
partiyali,NOUN,Noun {Ot}
partiyalilik,NOUN,Noun {Ot}
partiyasiz,ADJ,Adjective {Sifat}
partiyasiz,ADV,Adverb {Ravish}
partiyasiz,NOUN,Noun {Ot}
partiyasizlik,NOUN,Noun {Ot}
partiyaviy,ADJ,Adjective {Sifat}
partiyaviy,NOUN,Noun {Ot}
partiyaviy-siyosiy,NOUN,Noun {Ot}
partiyaviylik,ADJ,Adjective {Sifat}
partiyaviylik,NOUN,Noun {Ot}
partizan,ADV,Adverb {Ravish}
partizan,NOUN,Noun {Ot}
partizanchasiga,NOUN,Noun {Ot}
partizanchi,NOUN,Noun {Ot}
partizanchilik,ADJ,Adjective {Sifat}
partizanchilik,NOUN,Noun {Ot}
partizanka,NOUN,Noun {Ot}
partizankalik,NOUN,Noun {Ot}
partizanlik,ADJ,Adjective {Sifat}
partizanlik,NOUN,Noun {Ot}
partkabinet,NOUN,Noun {Ot}
partkollegiya,NOUN,Noun {Ot}
partkom,NOUN,Noun {Ot}
partkonferensiya,NOUN,Noun {Ot}
partnyor,NOUN,Noun {Ot}
partnyorlik,NOUN,Noun {Ot}
parto'shak,ADJ,Adjective {Sifat}
parto'shak,NOUN,Noun {Ot}
partonim,NOUN,Noun {Ot}
partonimiya,NOUN,Noun {Ot}
partov,NOUN,Noun {Ot}
partov,PRN,Pronoun {Olmosh}
parto‘shak,NOUN,Noun {Ot}
partstaj,NOUN,Noun {Ot}
partsyezd,NOUN,Noun {Ot}
parttashkilot,NOUN,Noun {Ot}
partvznos,NOUN,Noun {Ot}
parusina,NOUN,Noun {Ot}
parvana,NOUN,Noun {Ot}
parvarda,NOUN,Noun {Ot}
parvardachi,NOUN,Noun {Ot}
parvardafurush,NOUN,Noun {Ot}
parvardagul,NOUN,Noun {Ot}
parvardaxona,NOUN,Noun {Ot}
parvardigor,NOUN,Noun {Ot}
parvardigor,PRN,Pronoun {Olmosh}
parvarish,NOUN,Noun {Ot}
parvarishla,VERB,Verb {Fe'l}
parvarishlamoq,ADJ,Adjective {Sifat}
parvarishlamoq,NOUN,Noun {Ot}
parvarishlamoq,PRN,Pronoun {Olmosh}
parvarishlan,VERB,Verb {Fe'l}
parvarishlanish,NOUN,Noun {Ot}
parvarishli,NOUN,Noun {Ot}
parvarishlov,NOUN,Noun {Ot}
parvarishsiz,ADJ,Adjective {Sifat}
parvarishsiz,ADV,Adverb {Ravish}
parvarishsiz,NOUN,Noun {Ot}
parvarishsizlik,NOUN,Noun {Ot}
parvarishtalab,NOUN,Noun {Ot}
parvarishxona,NOUN,Noun {Ot}
parvin,ADV,Adverb {Ravish}
parvo,NOUN,Noun {Ot}
parvoli,NOUN,Noun {Ot}
parvona,ADV,Adverb {Ravish}
parvona,NOUN,Noun {Ot}
parvonachi,NOUN,Noun {Ot}
parvonachilik,NOUN,Noun {Ot}
parvonalar,NOUN,Noun {Ot}
parvosiz,ADJ,Adjective {Sifat}
parvosiz,ADV,Adverb {Ravish}
parvosiz,NOUN,Noun {Ot}
parvosizlik,ADJ,Adjective {Sifat}
parvosizlik,NOUN,Noun {Ot}
parvoyifalak,NOUN,Noun {Ot}
parvoyifalaklik,NOUN,Noun {Ot}
parvoz,NOUN,Noun {Ot}
parvozchi,NOUN,Noun {Ot}
parxish,NOUN,Noun {Ot}
parxo‘r,NOUN,Noun {Ot}
paryostiq,ADJ,Adjective {Sifat}
paryostiq,NOUN,Noun {Ot}
pas,NOUN,Noun {Ot}
pasangi,NOUN,Noun {Ot}
pasay,VERB,Verb {Fe'l}
pasayganlik,NOUN,Noun {Ot}
pasayish,NOUN,Noun {Ot}
pasaymoq,ADJ,Adjective {Sifat}
pasaymoq,NOUN,Noun {Ot}
pasaymoq,PRN,Pronoun {Olmosh}
pasayt,VERB,Verb {Fe'l}
pasaytir,VERB,Verb {Fe'l}
pasaytirgich,NOUN,Noun {Ot}
pasaytiril,VERB,Verb {Fe'l}
pasaytirish,NOUN,Noun {Ot}
pasaytiruv,NOUN,Noun {Ot}
pasaytuv,NOUN,Noun {Ot}
pasayuv,NOUN,Noun {Ot}
pasayuvchan,NOUN,Noun {Ot}
pasayuvchanlik,NOUN,Noun {Ot}
pasayuvchi,NOUN,Noun {Ot}
pashmak,ADJ,Adjective {Sifat}
pashmak,NOUN,Noun {Ot}
pashmakchi,NOUN,Noun {Ot}
pashmakchilik,NOUN,Noun {Ot}
pashmakxo‘r,NOUN,Noun {Ot}
pashmakxo‘rlik,NOUN,Noun {Ot}
pashmaloq,ADJ,Adjective {Sifat}
pashmaloq,NOUN,Noun {Ot}
pashmaloq,PRN,Pronoun {Olmosh}
pashsha,NOUN,Noun {Ot}
pashsha-chibin,NOUN,Noun {Ot}
pashshacha,NOUN,Noun {Ot}
pashshadori,NOUN,Noun {Ot}
pashshalamoq,NOUN,Noun {Ot}
pashshalashmoq,ADJ,Adjective {Sifat}
pashshalashmoq,NOUN,Noun {Ot}
pashshalashmoq,PRN,Pronoun {Olmosh}
pashshalash,VERB,Verb {Fe'l}
pashshaqo'nmas,NOUN,Noun {Ot}
pashshaqo‘nmas,NOUN,Noun {Ot}
pashshatutar,NOUN,Noun {Ot}
pashshatutkich,NOUN,Noun {Ot}
pashshatutqich,NOUN,Noun {Ot}
pashshaxo'rda,NOUN,Noun {Ot}
pashshaxona,ADV,Adverb {Ravish}
pashshaxona,NOUN,Noun {Ot}
pashshaxo‘rak,NOUN,Noun {Ot}
pashshaxo‘rda,NOUN,Noun {Ot}
pashtet,NOUN,Noun {Ot}
paskal,NOUN,Noun {Ot}
paskash,NOUN,Noun {Ot}
paskashlik,NOUN,Noun {Ot}
pasport,NOUN,Noun {Ot}
pasportlashtir,VERB,Verb {Fe'l}
pasportlashtirish,NOUN,Noun {Ot}
pasportli,NOUN,Noun {Ot}
pasportsiz,NOUN,Noun {Ot}
pasportsizlik,NOUN,Noun {Ot}
pasqam,NOUN,Noun {Ot}
pasqamlik,NOUN,Noun {Ot}
passaj,NOUN,Noun {Ot}
passajir,NOUN,Noun {Ot}
passakalyya,NOUN,Noun {Ot}
passat,NOUN,Noun {Ot}
passatlar,NOUN,Noun {Ot}
passiflora,NOUN,Noun {Ot}
passiv,NOUN,Noun {Ot}
passivlash,NOUN,Noun {Ot}
passivlash,VERB,Verb {Fe'l}
passivlashgan,NOUN,Noun {Ot}
passivlashganlik,NOUN,Noun {Ot}
passivlashmoq,ADJ,Adjective {Sifat}
passivlashmoq,NOUN,Noun {Ot}
passivlashmoq,PRN,Pronoun {Olmosh}
passivlashuv,NOUN,Noun {Ot}
passivlik,ADJ,Adjective {Sifat}
passivlik,NOUN,Noun {Ot}
passivlovchi,NOUN,Noun {Ot}
past,ADJ,Sifat
past,NOUN,Noun {Ot}
past-baland,NOUN,Noun {Ot}
past-balandlik,ADJ,Adjective {Sifat}
past-balandlik,NOUN,Noun {Ot}
past-past,NOUN,Noun {Ot}
pasta,NOUN,Noun {Ot}
pastak,ADJ,Adjective {Sifat}
pastak,NOUN,Noun {Ot}
pastak-pastak,NOUN,Noun {Ot}
pastakkina,NOUN,Noun {Ot}
pastarin,ADV,Adverb {Ravish}
pastarin,NOUN,Noun {Ot}
pastarinlik,NOUN,Noun {Ot}
pastda,NOUN,Noun {Ot}
pastdagi,NOUN,Noun {Ot}
pastdan,NOUN,Noun {Ot}
pastdarg‘omlik,NOUN,Noun {Ot}
pastel,NOUN,Noun {Ot}
pasterellalar,NOUN,Noun {Ot}
pasterizator,NOUN,Noun {Ot}
pasterizatsiya,NOUN,Noun {Ot}
pasterlash,NOUN,Noun {Ot}
pasternak,NOUN,Noun {Ot}
pastila,NOUN,Noun {Ot}
pastkash,NOUN,Noun {Ot}
pastkashlashmoq,ADJ,Adjective {Sifat}
pastkashlashmoq,NOUN,Noun {Ot}
pastkashlashmoq,PRN,Pronoun {Olmosh}
pastkashlash,VERB,Verb {Fe'l}
pastkashlik,ADJ,Adjective {Sifat}
pastkashlik,NOUN,Noun {Ot}
pastki,ADJ,Adjective {Sifat}
pastki,NOUN,Noun {Ot}
pastkisi,NOUN,Noun {Ot}
pastla,VERB,Verb {Fe'l}
pastlamaslik,NOUN,Noun {Ot}
pastlamoq,ADJ,Adjective {Sifat}
pastlamoq,NOUN,Noun {Ot}
pastlamoq,PRN,Pronoun {Olmosh}
pastlan,VERB,Verb {Fe'l}
pastlanganlik,NOUN,Noun {Ot}
pastlanish,NOUN,Noun {Ot}
pastlash,VERB,Verb {Fe'l}
pastlashish,NOUN,Noun {Ot}
pastlashmoq,ADJ,Adjective {Sifat}
pastlashmoq,NOUN,Noun {Ot}
pastlashmoq,PRN,Pronoun {Olmosh}
pastlashtir,VERB,Verb {Fe'l}
pastlashtiril,VERB,Verb {Fe'l}
pastlashuv,NOUN,Noun {Ot}
pastlashuvchi,NOUN,Noun {Ot}
pastlat,VERB,Verb {Fe'l}
pastlik,ADJ,Adjective {Sifat}
pastlik,NOUN,Noun {Ot}
pastlov,NOUN,Noun {Ot}
pastnazar,NOUN,Noun {Ot}
pastnazarlik,NOUN,Noun {Ot}
pastor,NOUN,Noun {Ot}
pastoral,NOUN,Noun {Ot}
pastqam,NOUN,Noun {Ot}
pastqamlik,ADJ,Adjective {Sifat}
pastqamlik,NOUN,Noun {Ot}
pasttekislik,ADJ,Adjective {Sifat}
pasttekislik,NOUN,Noun {Ot}
pastushoklar,NOUN,Noun {Ot}
pasxa,NOUN,Noun {Ot}
pat,NOUN,Noun {Ot}
pat-pat,NOUN,Noun {Ot}
pat-put,NOUN,Noun {Ot}
patak,ADJ,Adjective {Sifat}
patak,NOUN,Noun {Ot}
patak-matak,NOUN,Noun {Ot}
patak-patak,NOUN,Noun {Ot}
patakchi,NOUN,Noun {Ot}
patakdo‘z,NOUN,Noun {Ot}
patakdo‘zlik,NOUN,Noun {Ot}
patakla,VERB,Verb {Fe'l}
pataklashmoq,ADJ,Adjective {Sifat}
pataklashmoq,NOUN,Noun {Ot}
pataklashmoq,PRN,Pronoun {Olmosh}
pataklash,VERB,Verb {Fe'l}
pataklat,VERB,Verb {Fe'l}
patakli,NOUN,Noun {Ot}
pataksiz,NOUN,Noun {Ot}
patarat,NOUN,Noun {Ot}
patefon,NOUN,Noun {Ot}
patefon,PRN,Pronoun {Olmosh}
patefonli,NOUN,Noun {Ot}
patefonsiz,NOUN,Noun {Ot}
patent,NOUN,Noun {Ot}
patentla,VERB,Verb {Fe'l}
patentlan,VERB,Verb {Fe'l}
patentlanmoq,ADJ,Adjective {Sifat}
patentlanmoq,NOUN,Noun {Ot}
patentlanmoq,PRN,Pronoun {Olmosh}
patentlashtir,VERB,Verb {Fe'l}
patentlashtiril,VERB,Verb {Fe'l}
patentli,NOUN,Noun {Ot}
patentshunoslik,NOUN,Noun {Ot}
patentsiz,NOUN,Noun {Ot}
paternalizm,NOUN,Noun {Ot}
patgilam,NOUN,Noun {Ot}
patila,NOUN,Noun {Ot}
patila-patila,NOUN,Noun {Ot}
patilamo‘y,NOUN,Noun {Ot}
patilasoch,NOUN,Noun {Ot}
patilla,VERB,Verb {Fe'l}
patillamoq,ADJ,Adjective {Sifat}
patillamoq,NOUN,Noun {Ot}
patillamoq,PRN,Pronoun {Olmosh}
patinjon,NOUN,Noun {Ot}
patinjon,PRN,Pronoun {Olmosh}
patir,NOUN,Noun {Ot}
patir-patir,NOUN,Noun {Ot}
patir-putur,NOUN,Noun {Ot}
patira-patir,NOUN,Noun {Ot}
patira-putur,NOUN,Noun {Ot}
patirla,VERB,Verb {Fe'l}
patirlamoq,ADJ,Adjective {Sifat}
patirlamoq,NOUN,Noun {Ot}
patirlamoq,PRN,Pronoun {Olmosh}
patirlash,NOUN,Noun {Ot}
patirlash,VERB,Verb {Fe'l}
patirlashuv,NOUN,Noun {Ot}
patirlat,VERB,Verb {Fe'l}
patirlatish,NOUN,Noun {Ot}
patirlatuv,NOUN,Noun {Ot}
patirlov,NOUN,Noun {Ot}
patisson,NOUN,Noun {Ot}
patisson,PRN,Pronoun {Olmosh}
patli,ADJ,Adjective {Sifat}
patli,NOUN,Noun {Ot}
patloq,NOUN,Noun {Ot}
patnis,NOUN,Noun {Ot}
patnischi,NOUN,Noun {Ot}
patnisgul,NOUN,Noun {Ot}
patnisi,NOUN,Noun {Ot}
pato-,NOUN,Noun {Ot}
patofiziolog,NOUN,Noun {Ot}
patofiziologik,NOUN,Noun {Ot}
patofiziologiya,NOUN,Noun {Ot}
patogen,NOUN,Noun {Ot}
patogenetik,NOUN,Noun {Ot}
patogenez,NOUN,Noun {Ot}
patolog,NOUN,Noun {Ot}
patologik,ADJ,Adjective {Sifat}
patologik,NOUN,Noun {Ot}
patologiya,NOUN,Noun {Ot}
patologoanatom,NOUN,Noun {Ot}
patomorfologik,NOUN,Noun {Ot}
patomorfologiya,NOUN,Noun {Ot}
patopsixologiya,NOUN,Noun {Ot}
patos,NOUN,Noun {Ot}
patpatlamoq,ADJ,Adjective {Sifat}
patpatlamoq,NOUN,Noun {Ot}
patpatlamoq,PRN,Pronoun {Olmosh}
patpatla,VERB,Verb {Fe'l}
patputlamoq,NOUN,Noun {Ot}
patrak,NOUN,Noun {Ot}
patriarx,NOUN,Noun {Ot}
patriarxal,NOUN,Noun {Ot}
patriarxat,NOUN,Noun {Ot}
patrimonial,NOUN,Noun {Ot}
patristika,NOUN,Noun {Ot}
patritsiylar,NOUN,Noun {Ot}
patrologiya,NOUN,Noun {Ot}
patron,NOUN,Noun {Ot}
patron,PRN,Pronoun {Olmosh}
patronaj,NOUN,Noun {Ot}
patronat,NOUN,Noun {Ot}
patrondon,NOUN,Noun {Ot}
patronim,NOUN,Noun {Ot}
patronimiya,NOUN,Noun {Ot}
patronsiz,NOUN,Noun {Ot}
patrontash,NOUN,Noun {Ot}
patrul,NOUN,Noun {Ot}
patrullik,NOUN,Noun {Ot}
patsient,NOUN,Noun {Ot}
patsifikatsiya,NOUN,Noun {Ot}
patsifist,NOUN,Noun {Ot}
patsifistik,NOUN,Noun {Ot}
patsifistlik,NOUN,Noun {Ot}
patsifizm,NOUN,Noun {Ot}
patsiyens,NOUN,Noun {Ot}
patsiyent,NOUN,Noun {Ot}
patsochiq,NOUN,Noun {Ot}
patta,NOUN,Noun {Ot}
pattachi,NOUN,Noun {Ot}
pattachilik,ADJ,Adjective {Sifat}
pattachilik,NOUN,Noun {Ot}
pattoyi,NOUN,Noun {Ot}
pauperizm,NOUN,Noun {Ot}
pauza,NOUN,Noun {Ot}
pavian,ADV,Adverb {Ravish}
pavian,NOUN,Noun {Ot}
pavilon,NOUN,Noun {Ot}
pavilon,PRN,Pronoun {Olmosh}
pavilyon,NOUN,Noun {Ot}
pax,NOUN,Noun {Ot}
paxidermiya,NOUN,Noun {Ot}
paxikarpin,NOUN,Noun {Ot}
paxikefaliya,NOUN,Noun {Ot}
paximeningit,NOUN,Noun {Ot}
paxiperiostit,NOUN,Noun {Ot}
paxmay,VERB,Verb {Fe'l}
paxmaymoq,ADJ,Adjective {Sifat}
paxmaymoq,NOUN,Noun {Ot}
paxmaymoq,PRN,Pronoun {Olmosh}
paxmaytir,VERB,Verb {Fe'l}
paxmaytirilmoq,NOUN,Noun {Ot}
paxmayuv,NOUN,Noun {Ot}
paxmoq,ADJ,Adjective {Sifat}
paxmoq,NOUN,Noun {Ot}
paxmoq,PRN,Pronoun {Olmosh}
pax,VERB,Verb {Fe'l}
paxmoqbosh,NOUN,Noun {Ot}
paxmoqlan,VERB,Verb {Fe'l}
paxmoqlik,NOUN,Noun {Ot}
paxmoqqariqiz,NOUN,Noun {Ot}
paxmoqsoch,NOUN,Noun {Ot}
paxmoqsoqol,NOUN,Noun {Ot}
paxpardoz,NOUN,Noun {Ot}
paxsa,NOUN,Noun {Ot}
paxsachi,NOUN,Noun {Ot}
paxsachilik,NOUN,Noun {Ot}
paxsadevor,NOUN,Noun {Ot}
paxsakash,NOUN,Noun {Ot}
paxsakashlik,NOUN,Noun {Ot}
paxsali,ADJ,Adjective {Sifat}
paxsali,NOUN,Noun {Ot}
paxsasiz,NOUN,Noun {Ot}
paxsazan,NOUN,Noun {Ot}
paxta,NOUN,Noun {Ot}
paxta-dokali,NOUN,Noun {Ot}
paxtaband,NOUN,Noun {Ot}
paxtachi,NOUN,Noun {Ot}
paxtachilik,ADJ,Adjective {Sifat}
paxtachilik,NOUN,Noun {Ot}
paxtadog',NOUN,Noun {Ot}
paxtadog‘,NOUN,Noun {Ot}
paxtafurush,NOUN,Noun {Ot}
paxtafurushlik,NOUN,Noun {Ot}
paxtagul,NOUN,Noun {Ot}
paxtak,ADJ,Adjective {Sifat}
paxtak,NOUN,Noun {Ot}
paxtakash,NOUN,Noun {Ot}
paxtakashlik,NOUN,Noun {Ot}
paxtakor,NOUN,Noun {Ot}
paxtakor,PRN,Pronoun {Olmosh}
paxtakorlik,ADJ,Adjective {Sifat}
paxtakorlik,NOUN,Noun {Ot}
paxtali,ADJ,Adjective {Sifat}
paxtali,NOUN,Noun {Ot}
paxtalik,ADJ,Adjective {Sifat}
paxtalik,NOUN,Noun {Ot}
paxtanoma,NOUN,Noun {Ot}
paxtanusxa,NOUN,Noun {Ot}
paxtaobodlik,NOUN,Noun {Ot}
paxtaparvar,NOUN,Noun {Ot}
paxtapoya,NOUN,Noun {Ot}
paxtasaroy,NOUN,Noun {Ot}
paxtashunos,NOUN,Noun {Ot}
paxtashunoslik,NOUN,Noun {Ot}
paxtasimon,NOUN,Noun {Ot}
paxtatergich,NOUN,Noun {Ot}
paxtatikan,ADV,Adverb {Ravish}
paxtatikan,NOUN,Noun {Ot}
paxtatozalagich,NOUN,Noun {Ot}
paxtavon,NOUN,Noun {Ot}
paxtaxona,NOUN,Noun {Ot}
paxtazavod,NOUN,Noun {Ot}
paxtazor,NOUN,Noun {Ot}
paxtazor,PRN,Pronoun {Olmosh}
pay,NOUN,Noun {Ot}
payariq,NOUN,Noun {Ot}
payariqlik,NOUN,Noun {Ot}
paycha,ADV,Adverb {Ravish}
paycha,NOUN,Noun {Ot}
paychi,NOUN,Noun {Ot}
paychilik,ADJ,Adjective {Sifat}
paychilik,NOUN,Noun {Ot}
paydar-pay,NOUN,Noun {Ot}
paydarpaylik,NOUN,Noun {Ot}
paydo,NOUN,Noun {Ot}
paydor,NOUN,Noun {Ot}
paydor,PRN,Pronoun {Olmosh}
payg'ambar,NOUN,Noun {Ot}
payg'ambarlik,ADJ,Adjective {Sifat}
payg'ambarlik,NOUN,Noun {Ot}
payg'ambarona,ADV,Adverb {Ravish}
payg'om,NOUN,Noun {Ot}
paygir,ADJ,Adjective {Sifat}
paygir,NOUN,Noun {Ot}
payg‘ambar,NOUN,Noun {Ot}
payg‘ambarlik,NOUN,Noun {Ot}
payg‘ambarona,NOUN,Noun {Ot}
payg‘om,NOUN,Noun {Ot}
payg‘ora,NOUN,Noun {Ot}
payhon,NOUN,Noun {Ot}
payhon,PRN,Pronoun {Olmosh}
payhonchi,NOUN,Noun {Ot}
payhonla,VERB,Verb {Fe'l}
payhonlamoq,ADJ,Adjective {Sifat}
payhonlamoq,NOUN,Noun {Ot}
payhonlamoq,PRN,Pronoun {Olmosh}
payhonlan,VERB,Verb {Fe'l}
payhonlash,NOUN,Noun {Ot}
payhonlat,VERB,Verb {Fe'l}
payhonlov,NOUN,Noun {Ot}
payk,ADJ,Adjective {Sifat}
payk,NOUN,Noun {Ot}
paykal,NOUN,Noun {Ot}
paykalcha,NOUN,Noun {Ot}
paykalli,NOUN,Noun {Ot}
paykar,NOUN,Noun {Ot}
paykon,NOUN,Noun {Ot}
paykon,PRN,Pronoun {Olmosh}
paykoncha,NOUN,Noun {Ot}
payli,NOUN,Noun {Ot}
payma-pay,NOUN,Noun {Ot}
paymon,ADJ,Adjective {Sifat}
paymon,NOUN,Noun {Ot}
paymon,PRN,Pronoun {Olmosh}
paymona,ADV,Adverb {Ravish}
paymona,NOUN,Noun {Ot}
paymonshikan,NOUN,Noun {Ot}
paymonshikanlik,NOUN,Noun {Ot}
paynov,NOUN,Noun {Ot}
paynov,PRN,Pronoun {Olmosh}
payok,NOUN,Noun {Ot}
payokli,NOUN,Noun {Ot}
payoksiz,NOUN,Noun {Ot}
payom,NOUN,Noun {Ot}
payopay,NOUN,Noun {Ot}
payoq,ADJ,Adjective {Sifat}
payoq,NOUN,Noun {Ot}
paypasla,VERB,Verb {Fe'l}
paypaslagich,NOUN,Noun {Ot}
paypaslagichlilar,NOUN,Noun {Ot}
paypaslamoq,ADJ,Adjective {Sifat}
paypaslamoq,NOUN,Noun {Ot}
paypaslamoq,PRN,Pronoun {Olmosh}
paypaslan,VERB,Verb {Fe'l}
paypaslash,NOUN,Noun {Ot}
paypaslash,VERB,Verb {Fe'l}
paypaslov,NOUN,Noun {Ot}
paypoq,ADJ,Adjective {Sifat}
paypoq,NOUN,Noun {Ot}
paypoq,PRN,Pronoun {Olmosh}
paypoqbof,NOUN,Noun {Ot}
paypoqboflik,NOUN,Noun {Ot}
paypoqdor,NOUN,Noun {Ot}
paypoqdor,PRN,Pronoun {Olmosh}
paypoqdo‘z,NOUN,Noun {Ot}
paypoqdo‘zlik,NOUN,Noun {Ot}
paypoqli,NOUN,Noun {Ot}
paypoqsiz,NOUN,Noun {Ot}
payqa,VERB,Verb {Fe'l}
payqamoq,ADJ,Adjective {Sifat}
payqamoq,NOUN,Noun {Ot}
payqamoq,PRN,Pronoun {Olmosh}
payqamoqlik,NOUN,Noun {Ot}
payqash,NOUN,Noun {Ot}
payqashlik,NOUN,Noun {Ot}
payqov,NOUN,Noun {Ot}
payqovsiz,NOUN,Noun {Ot}
payraha,NOUN,Noun {Ot}
payrav,NOUN,Noun {Ot}
payrov,NOUN,Noun {Ot}
payrov,PRN,Pronoun {Olmosh}
payrovchi,NOUN,Noun {Ot}
payrovlik,ADJ,Adjective {Sifat}
payrovlik,NOUN,Noun {Ot}
paysa,NOUN,Noun {Ot}
paysa-paysa,NOUN,Noun {Ot}
paysaki,NOUN,Noun {Ot}
paysakilik,NOUN,Noun {Ot}
paysal,NOUN,Noun {Ot}
paysalchi,NOUN,Noun {Ot}
paysalchilik,NOUN,Noun {Ot}
paysalik,ADJ,Adjective {Sifat}
paysalik,NOUN,Noun {Ot}
paysalkashlik,NOUN,Noun {Ot}
paysallamoq,ADJ,Adjective {Sifat}
paysallamoq,NOUN,Noun {Ot}
paysallamoq,PRN,Pronoun {Olmosh}
paysalla,VERB,Verb {Fe'l}
paysallik,NOUN,Noun {Ot}
payshanba,NOUN,Noun {Ot}
payshanbalik,ADJ,Adjective {Sifat}
payshanbalik,NOUN,Noun {Ot}
payt,NOUN,Noun {Ot}
payt-paytida,NOUN,Noun {Ot}
payt-soat,NOUN,Noun {Ot}
paytava,NOUN,Noun {Ot}
paytavalik,NOUN,Noun {Ot}
paytavaqovoq,ADJ,Adjective {Sifat}
paytavaqovoq,NOUN,Noun {Ot}
paytavaqovoq,PRN,Pronoun {Olmosh}
paytavaquloq,ADJ,Adjective {Sifat}
paytavaquloq,NOUN,Noun {Ot}
paytavaquloq,PRN,Pronoun {Olmosh}
payvand,NOUN,Noun {Ot}
payvandchi,NOUN,Noun {Ot}
payvandi,NOUN,Noun {Ot}
payvandkash,NOUN,Noun {Ot}
payvandla,VERB,Verb {Fe'l}
payvandlagich,NOUN,Noun {Ot}
payvandlamoq,ADJ,Adjective {Sifat}
payvandlamoq,NOUN,Noun {Ot}
payvandlamoq,PRN,Pronoun {Olmosh}
payvandlan,VERB,Verb {Fe'l}
payvandlanish,NOUN,Noun {Ot}
payvandlanuvchanlik,NOUN,Noun {Ot}
payvandlash,NOUN,Noun {Ot}
payvandlash,VERB,Verb {Fe'l}
payvandlik,NOUN,Noun {Ot}
payvandlovchi,NOUN,Noun {Ot}
payvandtag,NOUN,Noun {Ot}
payvandust,NOUN,Noun {Ot}
payvast,NOUN,Noun {Ot}
payvasta,NOUN,Noun {Ot}
payvastalik,NOUN,Noun {Ot}
payxas,NOUN,Noun {Ot}
payza,NOUN,Noun {Ot}
pazanda,NOUN,Noun {Ot}
pazandachilik,ADJ,Adjective {Sifat}
pazandachilik,NOUN,Noun {Ot}
pazandalik,ADJ,Adjective {Sifat}
pazandalik,NOUN,Noun {Ot}
pech,NOUN,Noun {Ot}
pechak,ADJ,Adjective {Sifat}
pechak,NOUN,Noun {Ot}
pechakdoshlar,NOUN,Noun {Ot}
pechakgul,NOUN,Noun {Ot}
pechako‘t,NOUN,Noun {Ot}
pechakqovun,NOUN,Noun {Ot}
pechakzor,NOUN,Noun {Ot}
pechan,ADJ,Adjective {Sifat}
pechan,ADV,Adverb {Ravish}
pechan,NOUN,Noun {Ot}
pechanlashmoq,NOUN,Noun {Ot}
pechanlik,ADJ,Adjective {Sifat}
pechanlik,NOUN,Noun {Ot}
pechat,NOUN,Noun {Ot}
pechatla,VERB,Verb {Fe'l}
pechatlamoq,ADJ,Adjective {Sifat}
pechatlamoq,NOUN,Noun {Ot}
pechatlamoq,PRN,Pronoun {Olmosh}
pechatlan,VERB,Verb {Fe'l}
pechatlanish,NOUN,Noun {Ot}
pechatlat,VERB,Verb {Fe'l}
pechatlattirish,NOUN,Noun {Ot}
pechatlattirmoq,NOUN,Noun {Ot}
pechatlov,NOUN,Noun {Ot}
pechdor,NOUN,Noun {Ot}
pechene,NOUN,Noun {Ot}
pecheneg,NOUN,Noun {Ot}
pechenye,NOUN,Noun {Ot}
pechka,NOUN,Noun {Ot}
pechkachi,NOUN,Noun {Ot}
pechkachilik,NOUN,Noun {Ot}
pechkasoz,NOUN,Noun {Ot}
pechkasozlik,NOUN,Noun {Ot}
pedagog,NOUN,Noun {Ot}
pedagogik,ADJ,Adjective {Sifat}
pedagogik,NOUN,Noun {Ot}
pedagogika,NOUN,Noun {Ot}
pedagogiya,NOUN,Noun {Ot}
